"Campaign name","Ad Set Name",Ads,"Ad name",Objective,Day,Gender,Age,"Delivery status","Delivery level","Attribution setting","Result type",Results,Reach,Frequency,"Cost per result","Amount spent (USD)",Impressions,"CPM (cost per 1,000 impressions)","Link clicks","CPC (cost per link click)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all)","Landing page views","Content views","Website content views","Checkouts Initiated","Website checkouts initiated","Adds of payment info","Website adds of payment info","Purchase ROAS (return on ad spend)","Website purchase ROAS (return on ad spend)",Purchases,"Website purchases",Objective,"Reporting starts","Reporting ends"
"Dirty A/B testing","Brand + Product Group A",JPWABRanChill_PQ_V1,JPWABRanChill_PQ_V1,LINK_CLICKS,2024-12-04,female,65+,not_delivering,ad,"7-day click or 1-day view",,,34,1.05882353,,0.49,36,13.61111111,,,,1,2.77777778,0.49,,,,,,,,,,,,LINK_CLICKS,2024-12-04,2024-12-04
"Dirty A/B testing","Brand + Product Group A",BanersAClosetoFar,BanersAClosetoFar,LINK_CLICKS,2024-12-03,female,65+,not_delivering,ad,"7-day click or 1-day view","Link clicks",57,841,1.10701546,0.15491228,8.83,931,9.48442535,57,0.15491228,6.12244898,53,5.69280344,0.16660377,52,26,26,,,,,,,,,LINK_CLICKS,2024-12-03,2024-12-03
"Dirty A/B testing","Brand + Product Group A",BanersAClosetoFar,BanersAClosetoFar,LINK_CLICKS,2024-12-03,female,25-34,not_delivering,ad,"7-day click or 1-day view",,,7,1,,0.04,7,5.71428571,,,,0,0,,,,,,,,,,,,,LINK_CLICKS,2024-12-03,2024-12-03
"Dirty A/B testing","Brand + Product Group A",BanersAClosetoFar,BanersAClosetoFar,LINK_CLICKS,2024-12-03,male,25-34,not_delivering,ad,"7-day click or 1-day view",,,5,1.2,,0.01,6,1.66666667,,,,0,0,,,,,,,,,,,,,LINK_CLICKS,2024-12-03,2024-12-03
"Dirty A/B testing","Brand + Product Group A",BanersAClosetoFar,BanersAClosetoFar,LINK_CLICKS,2024-12-03,male,55-64,not_delivering,ad,"7-day click or 1-day view",,,39,1,,0.17,39,4.35897436,,,,0,0,,,,,,,,,,,,,LINK_CLICKS,2024-12-03,2024-12-03
"Dirty A/B testing","Brand + Product Group A",BanersAClosetoFar,BanersAClosetoFar,LINK_CLICKS,2024-12-03,unknown,55-64,not_delivering,ad,"7-day click or 1-day view",,,4,1,,0.03,4,7.5,,,,0,0,,,,,,,,,,,,,LINK_CLICKS,2024-12-03,2024-12-03
"Dirty A/B testing","Brand + Product Group A",BanersAClosetoFar,BanersAClosetoFar,LINK_CLICKS,2024-12-03,male,45-54,not_delivering,ad,"7-day click or 1-day view",,,15,1.33333333,,0.11,20,5.5,,,,0,0,,,,,,,,,,,,,LINK_CLICKS,2024-12-03,2024-12-03
"Dirty A/B testing","Brand + Product Group A",BanersAClosetoFar,BanersAClosetoFar,LINK_CLICKS,2024-12-03,female,45-54,not_delivering,ad,"7-day click or 1-day view",,,91,1.08791209,,0.29,99,2.92929293,,,,0,0,,,,,,,,,,,,,LINK_CLICKS,2024-12-03,2024-12-03
"Dirty A/B testing","Brand + Product Group A",BanersAClosetoFar,BanersAClosetoFar,LINK_CLICKS,2024-12-03,unknown,45-54,not_delivering,ad,"7-day click or 1-day view",,,1,1,,0.01,1,10,,,,0,0,,,,,,,,,,,,,LINK_CLICKS,2024-12-03,2024-12-03
"Dirty A/B testing","Brand + Product Group A",BanersAClosetoFar,BanersAClosetoFar,LINK_CLICKS,2024-12-03,female,35-44,not_delivering,ad,"7-day click or 1-day view",,,35,1,,0.12,35,3.42857143,,,,1,2.85714286,0.12,1,2,2,,,,,,,,,LINK_CLICKS,2024-12-03,2024-12-03
